control_id,capitulo,control_nombre,control_descripcion,pregunta,proposito,tipo_preventivo,tipo_detectivo,tipo_correctivo,prop_confidencialidad,prop_integridad,prop_disponibilidad,func_identificacion,func_proteccion,func_deteccion,func_respuesta,func_recuperacion,cap_gobernanza,cap_gestion_activos,cap_proteccion_informacion,cap_seguridad_rrhh,cap_seguridad_fisica,cap_seguridad_redes_sistemas,cap_seguridad_aplicaciones,cap_configuraciones_seguras,cap_gestion_accesos_identidades,cap_gestion_amenazas_vulnerabilidades,cap_continuidad,cap_seguridad_proveedores,cap_cumplimiento_legalidad,cap_gestion_eventos_si,cap_garantizar_si,dom_gobernanza_ecosistema,dom_proteccion,dom_defensa,dom_resiliencia,aplica,peso,porcentaje_absoluto_capitulo,tipo_seguridad,proyecto_sugerido,plazo_sugerido,mapeo_iso_27002_2013
5.24,5 - Controles Organizativos,Planificación y preparación para la gestión de incidentes de SI,"5.24 - Se deben definir, establecer y comunicar procesos de gestión de incidentes de SI, incluidos roles y responsabilidades.","5.24 - ¿Se da respuesta a los incidentes de SI de acuerdo con los procedimientos documentados? ¿Están definidas las responsabilidades y procedimientos de gestión para asegurar una respuesta rápida, eficaz y ordenada a los incidentes de SI?",0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.675676,2.702703,Organizativa,Clasificación y Tratamiento de Activos,Corto,Marco Normativo de Seguridad
5.25,5 - Controles Organizativos,Evaluación y decisión sobre eventos de SI,5.25 - La organización debe evaluar los eventos de SI y decidir si deben categorizarse como incidentes de SI.,"5.25 - ¿Los eventos de SI son reportados a través de canales de gestión apropiados, tan pronto como sea posible?",0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.675676,2.702703,Física,Tratamiento Seguro de los Soportes,Medio,Clasificación y Tratamiento de Activos
5.26,5 - Controles Organizativos,Respuesta a incidentes de SI,5.26 - Los incidentes de SI deben atenderse de acuerdo con los procedimientos documentados.,5.26 - ¿Los incidentes de seguridad de la información se respondieron de acuerdo con los procedimientos documentados?,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.675676,2.702703,Organizativa,Marco Normativo de Seguridad,Corto,Gestión de Accesos e Identidades (IDM)
5.27,5 - Controles Organizativos,Aprendizaje de los incidentes de SI,5.27 - Los conocimientos adquiridos al analizar y resolver incidentes de SI deben conservarse y utilizarse para fortalecer los controles existentes o identificar la necesidad de controles adicionales.,5.27 - ¿Se utiliza el conocimiento obtenido a partir del análisis y resolución de los incidentes de SI para reducir la probabilidad o el impacto de futuros incidentes?,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.675676,2.702703,Lógica,Gestión de Accesos e Identidades (IDM),Medio,Segmentación de Redes
5.28,5 - Controles Organizativos,Recolección de evidencia,"5.28 - La organización debe definir y aplicar procedimientos para la identificación, recopilación, adquisición y preservación de información que pueda servir como evidencia.","5.28 - ¿La organización define y aplica procedimientos para la identificación, recolección, adquisición y preservación de la información que podría utilizarse como evidencia?",0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.675676,2.702703,Lógica,Gestión de Accesos e Identidades (IDM),Medio,Marco Normativo de Seguridad
5.29,5 - Controles Organizativos,SI durante una disrrupción,5.29 - La SI debe mantenerse a un nivel apropiado durante una interrupción.,5.29 - ¿La seguridad de la información se mantuvo a un nivel apropiado durante la interrupción?,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0.675676,2.702703,Lógica,Implementación de Logon Único (SSO),Medio,Marco Normativo de Seguridad
5.30,5 - Controles Organizativos,Preparación de las TIC para la continuidad de negocio,"5.30 - La preparación de las TIC debe planificarse, implementarse y mantenerse basándose en los objetivos de continuidad del negocio y los requisitos de continuidad de las TIC.","5.30 - ¿La organización ha determinado sus requisitos de SI y de continuidad de la gestión de SI en situaciones adversas, como por ejemplo, durante una crisis o un desastre?",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.675676,2.702703,Lógica,Regularización de Usuarios,Corto,Marco Normativo de Seguridad
5.31,5 - Controles Organizativos,"Identificación de requisitos legales, estatutarios, reglamentarios y contractuales","5.31 - Deben identificarse, documentarse y mantenerse actualizados, todos los requisitos legales, estatutarios, regulatorios y contractuales relevantes para la SI, asi como el abordaje de la organización para cumplir con estos requisitos.","5.31 - ¿Se definen explícitamente, documentan y mantienen actualizados -para cada sistema de información de la organización- los requisitos legales, estatutarios, reglamentarios y contractuales pertinentes, así como el enfoque de la organización para cumplir con estos requisitos?",0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0.675676,2.702703,Lógica,Gestión de Accesos e Identidades (IDM),Medio,Marco Normativo de Seguridad
5.32,5 - Controles Organizativos,Derechos de propiedad intelectual,"5.32 - Se deben implementar procedimientos apropiados para garantizar el cumplimiento de los requisitos legales, estatutarios, regulatorios y contractuales relacionados con los derechos de propiedad intelectual y el uso de productos patentados.","5.32 - ¿Se implementan procedimientos apropiados para asegurar el cumplimiento de los requisitos legales, reglamentarios y contractuales relacionados con los derechos de propiedad intelectual y el uso de productos de software propietario?",0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0.675676,2.702703,Organizativa,Regularización de Usuarios,Corto,Organización de la Seguridad
5.33,5 - Controles Organizativos,Protección de registros,"5.33 - Los registros deben protegerse contra pérdida, destrucción, falsificación, acceso no autorizado y divulgación no autorizada, de acuerdo con los requisitos legales, reglamentarios, contractuales y comerciales.","5.33 - ¿Se protegen los registros de información contra pérdida, destrucción, falsificación, acceso no autorizado o divulgación no autorizada, de acuerdo con los requisitos legales, reglamentarios, contractuales y del negocio?",0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.675676,2.702703,Organizativa,Seguridad de los RRHH,Largo,Marco Normativo de Seguridad
